Train signal size,Train background size,Validation signal size,Validation background size,Test signal size,Test background size,Training method,Model structure,Model Name,Loss,ACC,AUC,Loss-true,ACC-true,AUC-true,Sample Type,Training epochs,time
720,491,180,124,10000,10000,CWoLa,ParT_Light,ParT_L100_w_a_05,0.6801750063896179,0.5888157894736842,0.5592293906810036,0.7315731048583984,0.52965,0.53090664,"quark jet: = 2, L: 100 fb^-1, w/ photon",24,2025-08-12 23:08:15.951814
2162,1475,542,370,10000,10000,CWoLa,ParT_Light,ParT_L300_w_a_01,0.6760599613189697,0.606359649122807,0.5452578039293907,0.6935715079307556,0.56375,0.583868915,"quark jet: = 2, L: 300 fb^-1, w/ photon",17,2025-08-12 23:11:02.902744
2162,1475,542,370,10000,10000,CWoLa,ParT_Light,ParT_L300_w_a_02,0.672668993473053,0.5942982456140351,0.5621571756258102,0.7019810676574707,0.52615,0.531335305,"quark jet: = 2, L: 300 fb^-1, w/ photon",26,2025-08-12 23:14:39.135284
2162,1475,542,370,10000,10000,CWoLa,ParT_Light,ParT_L300_w_a_03,0.6769965887069702,0.5953947368421053,0.528527974468934,0.7105530500411987,0.52095,0.52493893,"quark jet: = 2, L: 300 fb^-1, w/ photon",16,2025-08-12 23:17:15.200381
2162,1475,542,370,10000,10000,CWoLa,ParT_Light,ParT_L300_w_a_04,0.6786181926727295,0.6019736842105263,0.5585868155978857,0.6829258799552917,0.57465,0.601380715,"quark jet: = 2, L: 300 fb^-1, w/ photon",14,2025-08-12 23:19:41.875167
2162,1475,542,370,10000,10000,CWoLa,ParT_Light,ParT_L300_w_a_05,0.6738906502723694,0.5953947368421053,0.5426747780991323,0.7005507349967957,0.5701,0.591311625,"quark jet: = 2, L: 300 fb^-1, w/ photon",21,2025-08-12 23:22:53.807673
6492,4429,1624,1108,10000,10000,CWoLa,ParT_Light,ParT_L900_w_a_01,0.6779402494430542,0.5955344070278185,0.5329830853977344,0.7021476030349731,0.5107,0.5076951349999999,"quark jet: = 2, L: 900 fb^-1, w/ photon",15,2025-08-12 23:27:04.812802
6492,4429,1624,1108,10000,10000,CWoLa,ParT_Light,ParT_L900_w_a_02,0.6752972602844238,0.595900439238653,0.5386252689797444,0.7160686254501343,0.51645,0.51744573,"quark jet: = 2, L: 900 fb^-1, w/ photon",13,2025-08-12 23:30:46.416324
6492,4429,1624,1108,10000,10000,CWoLa,ParT_Light,ParT_L900_w_a_03,0.6746528744697571,0.5962664714494875,0.5520003423378563,0.6896132826805115,0.59385,0.619964285,"quark jet: = 2, L: 900 fb^-1, w/ photon",16,2025-08-12 23:35:05.983071
100000,100000,25000,25000,25000,25000,supervised,ParT_Light,ParT_wo_a_10,0.461411714553833,0.78586,0.8652321536,0.4592796564102173,0.7861,0.8657878200000001,"pure, w/o photon",86,2025-08-12 23:50:27.488944
6492,4429,1624,1108,10000,10000,CWoLa,ParT_Light,ParT_L900_w_a_04,0.6429399251937866,0.62298682284041,0.6491892817129341,0.6374131441116333,0.68485,0.746765025,"quark jet: = 2, L: 900 fb^-1, w/ photon",72,2025-08-12 23:50:43.081549
720,491,180,124,10000,10000,CWoLa,ParT_Light,ParT_L100_w_a_06,9.133193016052246,0.5888157894736842,0.4365143369175627,7.71054220199585,0.5,0.3660851499999999,"quark jet: = 2, L: 100 fb^-1, w/ photon",12,2025-08-12 23:52:06.341992
720,491,180,124,10000,10000,CWoLa,ParT_Light,ParT_L100_w_a_07,0.6734205484390259,0.631578947368421,0.5756272401433692,0.6913496851921082,0.5459,0.5514313399999999,"quark jet: = 2, L: 100 fb^-1, w/ photon",19,2025-08-12 23:54:17.266015
6492,4429,1624,1108,10000,10000,CWoLa,ParT_Light,ParT_L900_w_a_05,0.6850917339324951,0.5944363103953147,0.501368795682097,0.6944606304168701,0.532,0.53739017,"quark jet: = 2, L: 900 fb^-1, w/ photon",17,2025-08-12 23:55:12.318017
720,491,180,124,10000,10000,CWoLa,ParT_Light,ParT_L100_w_a_08,0.6661936044692993,0.631578947368421,0.6232974910394266,0.6763201355934143,0.60475,0.64380478,"quark jet: = 2, L: 100 fb^-1, w/ photon",57,2025-08-12 23:59:18.511612
12985,8860,3248,2216,10000,10000,CWoLa,ParT_Light,ParT_L1800_w_a_01,0.6762267351150513,0.5964494875549048,0.5380693173027333,0.7047408223152161,0.55405,0.570135845,"quark jet: = 2, L: 1800 fb^-1, w/ photon",12,2025-08-13 00:00:30.711677
720,491,180,124,10000,10000,CWoLa,ParT_Light,ParT_L100_w_a_09,3.080514907836914,0.6085526315789473,0.4849910394265233,4.006646633148193,0.5,0.47618813,"quark jet: = 2, L: 100 fb^-1, w/ photon",14,2025-08-13 00:01:05.813725
720,491,180,124,10000,10000,CWoLa,ParT_Light,ParT_L100_w_a_10,0.6737698912620544,0.618421052631579,0.5338709677419354,0.7173839211463928,0.5301,0.540839505,"quark jet: = 2, L: 100 fb^-1, w/ photon",21,2025-08-13 00:03:35.510789
2162,1475,542,370,10000,10000,CWoLa,ParT_Light,ParT_L300_w_a_06,0.6735687255859375,0.6096491228070176,0.5275007479804528,0.7063024640083313,0.55015,0.5525759,"quark jet: = 2, L: 300 fb^-1, w/ photon",27,2025-08-13 00:07:12.813101
12985,8860,3248,2216,10000,10000,CWoLa,ParT_Light,ParT_L1800_w_a_02,0.6762480735778809,0.6048682284040996,0.5367260163432982,0.694003164768219,0.55695,0.570678095,"quark jet: = 2, L: 1800 fb^-1, w/ photon",22,2025-08-13 00:09:53.051208
2162,1475,542,370,10000,10000,CWoLa,ParT_Light,ParT_L300_w_a_07,0.6613471508026123,0.6326754385964912,0.6282287822878229,0.6824565529823303,0.6139,0.65113325,"quark jet: = 2, L: 300 fb^-1, w/ photon",27,2025-08-13 00:11:07.337290
2162,1475,542,370,10000,10000,CWoLa,ParT_Light,ParT_L300_w_a_08,0.6812172532081604,0.6052631578947368,0.5446943253216316,0.6792266368865967,0.58525,0.61826235,"quark jet: = 2, L: 300 fb^-1, w/ photon",14,2025-08-13 00:13:25.120027
2162,1475,542,370,10000,10000,CWoLa,ParT_Light,ParT_L300_w_a_09,0.6688343286514282,0.6019736842105263,0.5677321232671786,0.7087168097496033,0.55105,0.565205865,"quark jet: = 2, L: 300 fb^-1, w/ photon",19,2025-08-13 00:16:25.857383
12985,8860,3248,2216,10000,10000,CWoLa,ParT_Light,ParT_L1800_w_a_03,0.6813473105430603,0.5962664714494875,0.5635033250120041,0.6707957983016968,0.6148,0.6560003649999999,"quark jet: = 2, L: 1800 fb^-1, w/ photon",27,2025-08-13 00:21:14.752430
2162,1475,542,370,10000,10000,CWoLa,ParT_Light,ParT_L300_w_a_10,0.656802237033844,0.618421052631579,0.6153286127455868,0.6727572083473206,0.62525,0.675077895,"quark jet: = 2, L: 300 fb^-1, w/ photon",48,2025-08-13 00:22:11.044985
12985,8860,3248,2216,10000,10000,CWoLa,ParT_Light,ParT_L1800_w_a_04,0.6614158749580383,0.6096266471449487,0.6133782966690972,0.6593382358551025,0.64605,0.6961183000000001,"quark jet: = 2, L: 1800 fb^-1, w/ photon",26,2025-08-13 00:32:16.211541
6492,4429,1624,1108,10000,10000,CWoLa,ParT_Light,ParT_L900_w_a_06,0.6521349549293518,0.613103953147877,0.6284394951183511,0.6490169167518616,0.6576,0.7184435849999999,"quark jet: = 2, L: 900 fb^-1, w/ photon",67,2025-08-13 00:37:27.435246
6492,4429,1624,1108,10000,10000,CWoLa,ParT_Light,ParT_L900_w_a_07,0.6679689884185791,0.5969985358711567,0.5743428891536697,0.6883679628372192,0.5953,0.624718815,"quark jet: = 2, L: 900 fb^-1, w/ photon",14,2025-08-13 00:41:27.925326
12985,8860,3248,2216,10000,10000,CWoLa,ParT_Light,ParT_L1800_w_a_05,0.6603380441665649,0.6114568081991215,0.6079295117461898,0.6558714509010315,0.6487,0.7061045149999999,"quark jet: = 2, L: 1800 fb^-1, w/ photon",25,2025-08-13 00:42:23.912767
21644,14768,5412,3693,10000,10000,CWoLa,ParT_Light,ParT_L3000_w_a_01,6.185111045837402,0.5948380010982977,0.5572391906623446,7.624618530273437,0.54895,0.56118662,"quark jet: = 2, L: 3000 fb^-1, w/ photon",12,2025-08-13 00:50:20.793979
6492,4429,1624,1108,10000,10000,CWoLa,ParT_Light,ParT_L900_w_a_08,0.6810129284858704,0.6079795021961932,0.5833375940317619,0.6539533138275146,0.63095,0.67993445,"quark jet: = 2, L: 900 fb^-1, w/ photon",41,2025-08-13 00:51:12.884965
6492,4429,1624,1108,10000,10000,CWoLa,ParT_Light,ParT_L900_w_a_09,0.6732000112533569,0.6024890190336749,0.5702765156230549,0.6849655508995056,0.59025,0.62240431,"quark jet: = 2, L: 900 fb^-1, w/ photon",15,2025-08-13 00:55:22.587971
6492,4429,1624,1108,10000,10000,CWoLa,ParT_Light,ParT_L900_w_a_10,0.6871128678321838,0.5977306002928258,0.5458038048407462,0.6799006462097168,0.576,0.600362135,"quark jet: = 2, L: 900 fb^-1, w/ photon",12,2025-08-13 00:58:43.089587
12985,8860,3248,2216,10000,10000,CWoLa,ParT_Light,ParT_L1800_w_a_06,0.6800861358642578,0.5942532942898975,0.5105482851985559,0.7018104195594788,0.50265,0.492650365,"quark jet: = 2, L: 1800 fb^-1, w/ photon",16,2025-08-13 01:05:44.356156
21644,14768,5412,3693,10000,10000,CWoLa,ParT_Light,ParT_L3000_w_a_02,0.6584519147872925,0.6124107633168588,0.6203317276507821,0.6376882791519165,0.66865,0.7333296349999999,"quark jet: = 2, L: 3000 fb^-1, w/ photon",25,2025-08-13 01:06:43.495074
12985,8860,3248,2216,10000,10000,CWoLa,ParT_Light,ParT_L1800_w_a_07,0.6497060060501099,0.6171303074670571,0.629570502147392,0.6390994191169739,0.6782,0.74180464,"quark jet: = 2, L: 1800 fb^-1, w/ photon",37,2025-08-13 01:21:07.380061
12985,8860,3248,2216,10000,10000,CWoLa,ParT_Light,ParT_L1800_w_a_08,9.169149398803713,0.5966325036603221,0.5470823617088438,7.712473392486572,0.529,0.5363078450000001,"quark jet: = 2, L: 1800 fb^-1, w/ photon",12,2025-08-13 01:26:27.158825
12985,8860,3248,2216,10000,10000,CWoLa,ParT_Light,ParT_L1800_w_a_09,0.6634272336959839,0.6068814055636896,0.6012556602452384,0.669277012348175,0.63905,0.692487745,"quark jet: = 2, L: 1800 fb^-1, w/ photon",39,2025-08-13 01:42:23.390524
12985,8860,3248,2216,10000,10000,CWoLa,ParT_Light,ParT_L1800_w_a_10,0.6887208223342896,0.5948023426061494,0.4794723023110028,0.7316791415214539,0.505,0.4606769300000001,"quark jet: = 2, L: 1800 fb^-1, w/ photon",12,2025-08-13 01:47:41.792151
21644,14768,5412,3693,10000,10000,CWoLa,ParT_Light,ParT_L3000_w_a_03,0.6368856430053711,0.628775398132894,0.658815948712622,0.6250971555709839,0.6957,0.761492535,"quark jet: = 2, L: 3000 fb^-1, w/ photon",73,2025-08-13 01:52:57.906949
21644,14768,5412,3693,10000,10000,CWoLa,ParT_Light,ParT_L3000_w_a_06,0.6795046329498291,0.5945085118066996,0.5179773953599517,0.6968719363212585,0.54215,0.55039321,"quark jet: = 2, L: 3000 fb^-1, w/ photon",16,2025-08-13 01:58:29.437227
21644,14768,5412,3693,10000,10000,CWoLa,ParT_Light,ParT_L3000_w_a_07,0.6446225047111511,0.6251510159253157,0.6441843340780354,0.632743239402771,0.68675,0.7489807450000001,"quark jet: = 2, L: 3000 fb^-1, w/ photon",69,2025-08-13 02:42:52.293519
21644,14768,5412,3693,10000,10000,CWoLa,ParT_Light,ParT_L3000_w_a_04,0.6441681981086731,0.6233937397034597,0.6433024395047141,0.6369131803512573,0.6897,0.7535464999999999,"quark jet: = 2, L: 3000 fb^-1, w/ photon",88,2025-08-13 02:47:22.340050
21644,14768,5412,3693,10000,10000,CWoLa,ParT_Light,ParT_L3000_w_a_08,0.6801542043685913,0.5968149368478858,0.5420103483768757,0.6864151358604431,0.5648,0.587700095,"quark jet: = 2, L: 3000 fb^-1, w/ photon",15,2025-08-13 02:52:51.292479
21644,14768,5412,3693,10000,10000,CWoLa,ParT_Light,ParT_L3000_w_a_09,0.6822765469551086,0.5957166392092257,0.5427212026348164,0.6821967363357544,0.56915,0.5959805,"quark jet: = 2, L: 3000 fb^-1, w/ photon",14,2025-08-13 03:02:16.236729
21644,14768,5412,3693,10000,10000,CWoLa,ParT_Light,ParT_L3000_w_a_10,0.6611480116844177,0.6051619989017024,0.5973269178079861,0.6710551977157593,0.636,0.688658775,"quark jet: = 2, L: 3000 fb^-1, w/ photon",19,2025-08-13 03:14:52.139755
720,491,180,124,10000,10000,CWoLa,ParT_Light,ParT_L100_wo_a_06,0.672213077545166,0.5986842105263158,0.5792114695340502,0.6879117488861084,0.56045,0.57880694,"quark jet: = 2, L: 100 fb^-1, w/o photon",32,2025-08-13 03:18:21.900701
720,491,180,124,10000,10000,CWoLa,ParT_Light,ParT_L100_wo_a_07,0.681156575679779,0.5986842105263158,0.540725806451613,0.701210618019104,0.5317,0.531658135,"quark jet: = 2, L: 100 fb^-1, w/o photon",37,2025-08-13 03:21:30.032687
720,491,180,124,10000,10000,CWoLa,ParT_Light,ParT_L100_wo_a_08,0.6675257682800293,0.618421052631579,0.5851702508960573,0.724413275718689,0.5033,0.46989569,"quark jet: = 2, L: 100 fb^-1, w/o photon",25,2025-08-13 03:24:29.786290
720,491,180,124,10000,10000,CWoLa,ParT_Light,ParT_L100_wo_a_09,0.6915267109870911,0.6019736842105263,0.4694444444444444,0.7268116474151611,0.50045,0.483475815,"quark jet: = 2, L: 100 fb^-1, w/o photon",14,2025-08-13 03:26:38.492992
21644,14768,5412,3693,10000,10000,CWoLa,ParT_Light,ParT_L3000_w_a_05,0.6518347859382629,0.615595826468973,0.6264301391998486,0.6402684450149536,0.6766,0.7366792149999999,"quark jet: = 2, L: 3000 fb^-1, w/ photon",66,2025-08-13 03:28:40.327338
720,491,180,124,10000,10000,CWoLa,ParT_Light,ParT_L100_wo_a_10,1.5734796524047852,0.6019736842105263,0.5512992831541219,1.5805234909057615,0.5002,0.465803955,"quark jet: = 2, L: 100 fb^-1, w/o photon",14,2025-08-13 03:28:44.454322
720,491,180,124,10000,10000,CWoLa,ParT_Light,ParT_L100_wo_a_01,0.681894063949585,0.5986842105263158,0.5709229390681003,0.7327873706817627,0.5659,0.5883924650000001,"quark jet: = 2, L: 100 fb^-1, w/o photon",13,2025-08-13 03:30:40.433321
2162,1475,542,370,10000,10000,CWoLa,ParT_Light,ParT_L300_wo_a_06,0.6814353466033936,0.6052631578947368,0.532816395731525,0.6810421347618103,0.5817,0.6104739399999999,"quark jet: = 2, L: 300 fb^-1, w/o photon",27,2025-08-13 03:32:47.659386
720,491,180,124,10000,10000,CWoLa,ParT_Light,ParT_L100_wo_a_02,0.6765285730361938,0.6019736842105263,0.5103494623655914,0.7038044333457947,0.55435,0.57771029,"quark jet: = 2, L: 100 fb^-1, w/o photon",25,2025-08-13 03:33:26.907663
720,491,180,124,10000,10000,CWoLa,ParT_Light,ParT_L100_wo_a_03,8.19736385345459,0.6217105263157895,0.5674283154121864,6.85215950012207,0.57955,0.589365825,"quark jet: = 2, L: 100 fb^-1, w/o photon",12,2025-08-13 03:35:13.263381
2162,1475,542,370,10000,10000,CWoLa,ParT_Light,ParT_L300_wo_a_07,0.7154754996299744,0.5986842105263158,0.4742495262790466,0.7083130478858948,0.51945,0.51152279,"quark jet: = 2, L: 300 fb^-1, w/o photon",18,2025-08-13 03:35:50.271398
720,491,180,124,10000,10000,CWoLa,ParT_Light,ParT_L100_wo_a_04,0.7302930951118469,0.5888157894736842,0.5147849462365592,0.7153951525688171,0.5171,0.516103985,"quark jet: = 2, L: 100 fb^-1, w/o photon",12,2025-08-13 03:37:00.457477
720,491,180,124,10000,10000,CWoLa,ParT_Light,ParT_L100_wo_a_05,0.6739811897277832,0.6019736842105263,0.5727598566308243,0.7037724256515503,0.56875,0.59416896,"quark jet: = 2, L: 100 fb^-1, w/o photon",34,2025-08-13 03:40:30.211870
2162,1475,542,370,10000,10000,CWoLa,ParT_Light,ParT_L300_wo_a_01,0.6783979535102844,0.5975877192982456,0.5029570160566471,0.7060011029243469,0.50405,0.475890415,"quark jet: = 2, L: 300 fb^-1, w/o photon",31,2025-08-13 03:44:30.911492
2162,1475,542,370,10000,10000,CWoLa,ParT_Light,ParT_L300_wo_a_08,0.658646821975708,0.6151315789473685,0.6075845217911638,0.674546480178833,0.6312,0.6796735150000001,"quark jet: = 2, L: 300 fb^-1, w/o photon",84,2025-08-13 03:45:14.572294
2162,1475,542,370,10000,10000,CWoLa,ParT_Light,ParT_L300_wo_a_09,0.6703562140464783,0.6019736842105263,0.5664007180612346,0.7088515162467957,0.55495,0.57254316,"quark jet: = 2, L: 300 fb^-1, w/o photon",17,2025-08-13 03:48:18.748341
2162,1475,542,370,10000,10000,CWoLa,ParT_Light,ParT_L300_wo_a_02,0.6600388884544373,0.6151315789473685,0.6095392440410891,0.6597406268119812,0.63765,0.69050936,"quark jet: = 2, L: 300 fb^-1, w/o photon",52,2025-08-13 03:50:26.708011
2162,1475,542,370,10000,10000,CWoLa,ParT_Light,ParT_L300_wo_a_10,0.6727949976921082,0.6041666666666666,0.5548668594794057,0.7009342908859253,0.5441,0.5523398150000001,"quark jet: = 2, L: 300 fb^-1, w/o photon",16,2025-08-13 03:51:24.163414
2162,1475,542,370,10000,10000,CWoLa,ParT_Light,ParT_L300_wo_a_03,0.6737480759620667,0.5953947368421053,0.5462625910042884,0.6980416178703308,0.58615,0.611963445,"quark jet: = 2, L: 300 fb^-1, w/o photon",18,2025-08-13 03:53:44.011698
6492,4429,1624,1108,10000,10000,CWoLa,ParT_Light,ParT_L900_wo_a_06,0.6736652255058289,0.5948023426061494,0.5414890140669737,0.7104170918464661,0.54475,0.553579165,"quark jet: = 2, L: 900 fb^-1, w/o photon",12,2025-08-13 03:54:54.755508
2162,1475,542,370,10000,10000,CWoLa,ParT_Light,ParT_L300_wo_a_04,0.6749216318130493,0.5997807017543859,0.5396230178518002,0.7163681387901306,0.53665,0.552827765,"quark jet: = 2, L: 300 fb^-1, w/o photon",18,2025-08-13 03:56:54.375798
6492,4429,1624,1108,10000,10000,CWoLa,ParT_Light,ParT_L900_wo_a_07,0.6854081749916077,0.5962664714494875,0.542488518343974,0.6865246295928955,0.55965,0.57767545,"quark jet: = 2, L: 900 fb^-1, w/o photon",14,2025-08-13 03:58:57.644530
2162,1475,542,370,10000,10000,CWoLa,ParT_Light,ParT_L300_wo_a_05,0.6857038736343384,0.5986842105263158,0.4992221003291114,0.6952821016311646,0.5242,0.5259960850000001,"quark jet: = 2, L: 300 fb^-1, w/o photon",36,2025-08-13 04:02:08.679305
6492,4429,1624,1108,10000,10000,CWoLa,ParT_Light,ParT_L900_wo_a_08,0.6749193668365479,0.613103953147877,0.5763871907844428,0.6756495833396912,0.6042,0.6425361150000001,"quark jet: = 2, L: 900 fb^-1, w/o photon",23,2025-08-13 04:05:21.035270
6492,4429,1624,1108,10000,10000,CWoLa,ParT_Light,ParT_L900_wo_a_01,0.6792040467262268,0.5969985358711567,0.5550524843947289,0.6834936738014221,0.5739,0.60622303,"quark jet: = 2, L: 900 fb^-1, w/o photon",15,2025-08-13 04:06:25.813936
6492,4429,1624,1108,10000,10000,CWoLa,ParT_Light,ParT_L900_wo_a_09,0.6875327229499817,0.5948023426061494,0.5075305992246271,0.7119665145874023,0.50465,0.5015733849999999,"quark jet: = 2, L: 900 fb^-1, w/o photon",12,2025-08-13 04:08:50.255872
6492,4429,1624,1108,10000,10000,CWoLa,ParT_Light,ParT_L900_wo_a_02,0.6860825419425964,0.5940702781844802,0.5159103741708311,0.7154201865196228,0.50635,0.502570195,"quark jet: = 2, L: 900 fb^-1, w/o photon",12,2025-08-13 04:09:56.770512
6492,4429,1624,1108,10000,10000,CWoLa,ParT_Light,ParT_L900_wo_a_10,0.672055721282959,0.6010248901903368,0.5447912405968238,0.7023698091506958,0.56075,0.58109066,"quark jet: = 2, L: 900 fb^-1, w/o photon",14,2025-08-13 04:12:59.084558
6492,4429,1624,1108,10000,10000,CWoLa,ParT_Light,ParT_L900_wo_a_03,0.6747180223464966,0.6035871156661786,0.5821799807935124,0.6720231175422668,0.6222,0.66314397,"quark jet: = 2, L: 900 fb^-1, w/o photon",30,2025-08-13 04:17:42.851309
12985,8860,3248,2216,10000,10000,CWoLa,ParT_Light,ParT_L1800_wo_a_06,0.6811825037002563,0.594619326500732,0.5430065405425832,0.6928353309631348,0.53565,0.542902765,"quark jet: = 2, L: 1800 fb^-1, w/o photon",18,2025-08-13 04:21:14.819186
6492,4429,1624,1108,10000,10000,CWoLa,ParT_Light,ParT_L900_wo_a_04,0.664411723613739,0.6039531478770132,0.6013264480446728,0.6650132536888123,0.64185,0.69104244,"quark jet: = 2, L: 900 fb^-1, w/o photon",35,2025-08-13 04:26:06.270215
6492,4429,1624,1108,10000,10000,CWoLa,ParT_Light,ParT_L900_wo_a_05,0.6802604794502258,0.5999267935578331,0.5188185787199231,0.7310841679573059,0.53935,0.543351315,"quark jet: = 2, L: 900 fb^-1, w/o photon",13,2025-08-13 04:29:55.497623
12985,8860,3248,2216,10000,10000,CWoLa,ParT_Light,ParT_L1800_wo_a_07,0.6735674738883972,0.6034040995607614,0.5543325189841902,0.6853435039520264,0.5829,0.6077509400000001,"quark jet: = 2, L: 1800 fb^-1, w/o photon",22,2025-08-13 04:30:58.685399
12985,8860,3248,2216,10000,10000,CWoLa,ParT_Light,ParT_L1800_wo_a_08,0.6814943552017212,0.5942532942898975,0.5287953514298163,0.6897181868553162,0.5512,0.572361885,"quark jet: = 2, L: 1800 fb^-1, w/o photon",22,2025-08-13 04:40:37.958516
12985,8860,3248,2216,10000,10000,CWoLa,ParT_Light,ParT_L1800_wo_a_09,0.6817150712013245,0.594619326500732,0.5139861825549964,0.7327625751495361,0.52005,0.52251103,"quark jet: = 2, L: 1800 fb^-1, w/o photon",13,2025-08-13 04:46:36.912979
12985,8860,3248,2216,10000,10000,CWoLa,ParT_Light,ParT_L1800_wo_a_01,0.6471894979476929,0.6218887262079063,0.6382521151588981,0.6344494819641113,0.67825,0.7403188,"quark jet: = 2, L: 1800 fb^-1, w/o photon",48,2025-08-13 04:50:07.391687
12985,8860,3248,2216,10000,10000,CWoLa,ParT_Light,ParT_L1800_wo_a_10,0.6823141574859619,0.6156661786237189,0.6177016319956963,0.6526206135749817,0.6426,0.695498255,"quark jet: = 2, L: 1800 fb^-1, w/o photon",27,2025-08-13 04:58:38.255665
